type,algorithm,condition,N,V_bytes,K,T_ms
int,MultiThreadedQuickSort,Best,10000,112,25006,0.068916
int,MultiThreadedQuickSort,Worst,20000,112,50012,0.269625
int,MultiThreadedQuickSort,Uniform,20000,112,51072,0.538127
int,MultiThreadedQuickSort,Normal,20000,112,49279,0.557077
int,MultiThreadedQuickSort,Best,20000,112,50006,0.153458
int,MultiThreadedQuickSort,Worst,50000,112,125012,0.987916
int,MultiThreadedQuickSort,Uniform,50000,112,126236,1.1793
int,MultiThreadedQuickSort,Normal,50000,112,128239,1.40861
int,MultiThreadedQuickSort,Best,50000,112,125006,0.809917
int,MultiThreadedQuickSort,Worst,100000,112,250012,3.06996
int,MultiThreadedQuickSort,Uniform,100000,112,250868,4.46988
int,MultiThreadedQuickSort,Normal,100000,112,254602,1.76252
int,MultiThreadedQuickSort,Best,100000,112,250006,0.648792
int,MultiThreadedQuickSort,Worst,200000,112,500012,3.29012
int,MultiThreadedQuickSort,Uniform,200000,112,485451,7.71922
int,MultiThreadedQuickSort,Normal,200000,112,513157,3.13643
int,MultiThreadedQuickSort,Best,200000,112,500006,1.41892
int,MultiThreadedQuickSort,Worst,500000,112,1250012,6.99829
int,MultiThreadedQuickSort,Uniform,500000,112,1260574,6.23808
int,MultiThreadedQuickSort,Normal,500000,112,1208971,6.134
int,MultiThreadedQuickSort,Best,500000,112,1250006,2.63488
int,MultiThreadedQuickSort,Worst,1000000,112,2500012,17.4286
int,MultiThreadedQuickSort,Uniform,1000000,112,2509864,12.557
int,MultiThreadedQuickSort,Normal,1000000,112,2531935,12.1732
int,MultiThreadedQuickSort,Best,1000000,112,2500006,5.88358
int,MultiThreadedMergeSort,Worst,10000,40080,25000,1.26692
int,MultiThreadedMergeSort,Uniform,10000,40080,29997,1.16479
int,MultiThreadedMergeSort,Normal,10000,40080,29998,1.13915
int,MultiThreadedMergeSort,Best,10000,40080,25000,0.940666
int,MultiThreadedMergeSort,Worst,20000,80080,50000,0.7565
int,MultiThreadedMergeSort,Uniform,20000,80080,59998,0.878184
int,MultiThreadedMergeSort,Normal,20000,80080,59997,0.908283
int,MultiThreadedMergeSort,Best,20000,80080,50000,0.711417
int,MultiThreadedMergeSort,Worst,50000,200080,125000,1.27975
int,MultiThreadedMergeSort,Uniform,50000,200080,149998,1.75692
int,MultiThreadedMergeSort,Normal,50000,200080,149997,1.77525
int,MultiThreadedMergeSort,Best,50000,200080,125000,1.34308
int,MultiThreadedMergeSort,Worst,100000,400080,250000,2.65996
int,MultiThreadedMergeSort,Uniform,100000,400080,299998,3.58758
int,MultiThreadedMergeSort,Normal,100000,400080,299997,3.7105
int,MultiThreadedMergeSort,Best,100000,400080,250000,2.814
int,MultiThreadedMergeSort,Worst,200000,800080,500000,5.64854
int,MultiThreadedMergeSort,Uniform,200000,800080,599998,7.00706
int,MultiThreadedMergeSort,Normal,200000,800080,599998,6.84121
int,MultiThreadedMergeSort,Best,200000,800080,500000,5.44242
int,MultiThreadedMergeSort,Worst,500000,2000080,1250000,12.5688
int,MultiThreadedMergeSort,Uniform,500000,2000080,1499997,15.5642
int,MultiThreadedMergeSort,Normal,500000,2000080,1499997,14.1703
int,MultiThreadedMergeSort,Best,500000,2000080,1250000,13.0402
int,MultiThreadedMergeSort,Worst,1000000,4000080,2500000,26.3542
int,MultiThreadedMergeSort,Uniform,1000000,4000080,2999998,30.8769
int,MultiThreadedMergeSort,Normal,1000000,4000080,2999998,29.1359
int,MultiThreadedMergeSort,Best,1000000,4000080,2500000,21.263
int,MultiThreadedHeapSort,Worst,10000,0,640328,0.386542
int,MultiThreadedHeapSort,Uniform,10000,0,607896,0.425115
int,MultiThreadedHeapSort,Normal,10000,0,607811,0.42238
int,MultiThreadedHeapSort,Best,10000,0,576770,0.372333
int,MultiThreadedHeapSort,Worst,20000,0,1377708,0.826375
int,MultiThreadedHeapSort,Uniform,20000,0,1316019,0.900082
int,MultiThreadedHeapSort,Normal,20000,0,1315496,0.884382
int,MultiThreadedHeapSort,Best,20000,0,1256309,0.780917
int,MultiThreadedHeapSort,Worst,50000,0,3775350,2.26975
int,MultiThreadedHeapSort,Uniform,50000,0,3622222,2.54212
int,MultiThreadedHeapSort,Normal,50000,0,3620728,2.50937
int,MultiThreadedHeapSort,Best,50000,0,3462723,2.17183
int,MultiThreadedHeapSort,Worst,100000,0,8065079,4.91475
int,MultiThreadedHeapSort,Uniform,100000,0,7744543,5.5771
int,MultiThreadedHeapSort,Normal,100000,0,7740847,5.54893
int,MultiThreadedHeapSort,Best,100000,0,7418942,4.78008
int,MultiThreadedHeapSort,Worst,200000,0,17124392,10.4802
int,MultiThreadedHeapSort,Uniform,200000,0,16488821,12.3571
int,MultiThreadedHeapSort,Normal,200000,0,16480246,12.2801
